State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty,Latitude,Longitude,Environment Category
Georgia,Muscogee,189885,74081,25.16792452830185,46932.1320754717,11,30,11,15,67460.96952449385,144182.9725030023,67460.96952449385,24621.7246267656,61302.16558920867,24621.7246267656,144182.9725030023,48598,22082,87870,86403,4128,431,731,10322,12110,7610,14331,5.1,2757.0,9253.0,29,21,2465.0,1041.0,5827.0,31.0,32.5099583696,-84.8770429861,Food Deserts
Georgia,Quitman,2513,1053,28.6999999999999,33922.0,0,0,0,0,75.8069311809167,75.8069311809167,0.0,42.941501769988,42.941501769988,0.0,2512.99999109207,514,554,1290,1204,2,0,4,13,34,86,201,3.8,55.0,13924.0,34,23,64.0,8.0,56.0,48.0,31.8673305599,-85.0187841576,Food Deserts
Georgia,Randolph,7719,3187,30.199999999999946,33549.5,1,1,1,1,4076.365106225937,5451.4221978830055,3625.9457296537,2507.173558182976,3245.5654681895057,2228.3784710037603,6899.00281442458,1728,1376,2827,4769,23,0,5,95,119,621,806,5.1,134.0,13179.0,34,25,91.0,23.0,219.0,44.0,31.7626226688,-84.7541920738,Food Deserts
Georgia,Richmond,200549,76924,28.557446808510594,45806.68085106383,22,31,22,21,83649.41919729549,152972.06557106494,83649.41919729549,36910.3482815394,71004.32627831929,36910.3482815394,167883.7622236895,49305,22712,79624,108633,3331,400,685,7876,8207,7134,14983,4.6,3260.0,10827.0,34,22,2015.0,852.0,6146.0,38.0,33.3596322314,-82.0735477739,Food Deserts
Georgia,Screven,14593,5596,22.699999999999942,47188.6,1,1,0,2,2966.0815294077893,2966.0815294077893,0.0,1324.2354784970316,1324.2354784970316,0.0,13028.84314131481,3690,2174,7965,6318,57,1,46,206,180,547,939,5.4,256.0,10118.0,33,22,272.0,55.0,413.0,40.0,32.7505866271,-81.6119345544,Food Deserts
Georgia,Stewart,6058,1862,34.949999999999946,26869.5,1,1,0,2,595.1203780500233,595.1203780500233,0.0,345.95776354470183,345.95776354470183,0.0,5654.415960103171,949,858,1696,2864,44,1,11,1442,1454,270,521,5.5,115.0,10880.0,34,33,22.0,3.0,141.0,48.0,32.0784621843,-84.8352023744,Food Deserts
Georgia,Sumter,32819,12123,28.92499999999996,43325.75,2,3,1,4,3933.803700279415,7545.133138544924,3068.7891672105898,1939.236769682111,3954.385225861766,1428.12553176499,30238.87492967041,8301,4143,13852,17001,421,21,106,1418,1717,1513,3008,4.9,449.0,8560.0,33,25,409.0,232.0,1060.0,48.0,32.039959396,-84.1970560516,Food Deserts
Georgia,Taliaferro,1717,759,31.1999999999999,34352.0,1,1,0,1,1172.41914030211,1172.41914030211,0.0,719.3650972093429,719.3650972093429,0.0,1716.99999257522,323,352,640,1024,11,0,2,40,35,101,180,1.2,,,31,26,29.0,3.0,47.0,54.0,33.5660908408,-82.8787644687,Food Deserts
Georgia,Thomas,44720,17573,26.572727272727253,42764.454545454544,4,4,2,3,15365.350651681014,22538.2327118338,12107.785142122302,7499.430035347561,11167.665653324502,5819.24168199067,40738.81643769397,11137,6740,26645,16497,311,7,196,1064,1275,1717,3921,5.0,682.0,8210.0,34,20,602.0,147.0,1190.0,32.0,30.8636815475,-83.9193134094,Food Deserts
Georgia,Ware,36312,13654,29.22222222222219,43754.0,5,6,3,6,11267.577703020159,15967.809614035275,8810.069329267815,4623.093212116956,6932.392269083963,3468.331403888124,31165.640095251427,8557,5531,24103,10721,279,13,120,1076,1207,1509,3251,5.3,601.0,10136.0,36,21,662.0,148.0,937.0,46.0,31.0536324937,-82.4236757904,Food Deserts
Georgia,Washington,21187,7547,25.54,45755.6,2,2,1,4,6306.79126822531,7420.66787182611,2371.67827838168,3329.518995614408,3909.691074094949,1334.13483137761,19008.433600553068,5046,2881,9531,11173,104,1,25,353,407,768,1495,4.6,304.0,7463.0,32,21,303.0,56.0,498.0,37.0,32.9695357353,-82.7958991685,Food Deserts
