State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty,Latitude,Longitude
California,Amador,38091,14569,12.233333333333311,68475.22222222223,0,0,0,1,5.3553277364117005,5.3553277364117005,0.0,1.7851092533492101,1.7851092533492101,0.0,33363.00820825503,6393,7865,33149,962,419,77,678,2806,4756,532,1280,7.6,527.0,6118.0,26,13,609.0,104.0,956.0,20.0,38.446389504,-120.651115621
California,Butte,220000,87618,22.247058823529372,55904.50980392157,14,27,13,12,42034.365302235085,108159.97726376136,40692.5206061284,14376.991137677443,45442.15521564341,13885.378479147405,162399.08452437722,46168,33817,180096,3415,9057,452,4395,22585,31116,6091,9626,6.5,2797.0,7438.0,26,16,3808.0,665.0,7334.0,24.0,39.6669293633,-121.600671735
California,Calaveras,45578,18886,12.16,64442.2,0,0,0,1,7456.005538667016,9243.791933535234,7400.458955499633,1989.611090684578,2407.721592066149,1982.4674725360828,40558.457650090735,8943,9565,40522,383,571,79,689,3334,4703,772,1495,7.8,632.0,7210.0,24,12,790.0,115.0,1330.0,21.0,38.204606803,-120.554132098
California,Colusa,21419,7056,14.420000000000002,55160.8,1,1,1,0,3262.0532417876802,7150.464652256877,2327.372487435885,1025.9840320271471,2469.107418296001,651.402771698106,11865.302921513336,6410,2495,13854,195,281,68,419,6602,11804,380,673,7.7,180.0,5432.0,25,20,335.0,43.0,1718.0,19.0,39.177573113,-122.237029616
California,Contra Costa,1049025,375364,10.408173076923056,99786.66346153848,15,63,15,15,251688.5919924347,643116.3126307441,251688.5919924347,38047.06068106402,135262.27128221095,38047.06068106402,665131.1146128358,260505,130438,614512,97161,151469,4845,6122,174916,255560,22252,22201,8.1,8794.0,4712.0,25,12,6084.0,3998.0,27530.0,13.0,37.9233794475,-121.951073113
California,Del Norte,28610,9907,24.999999999999968,48798.142857142855,3,5,1,1,9843.898113342246,16039.19566859991,7079.520407035017,4202.9314390171885,6931.458621480071,2702.6547245591723,25150.261004711698,6138,3873,21098,993,965,32,2244,3278,5093,812,1243,6.0,403.0,8298.0,26,18,480.0,165.0,853.0,34.0,41.744942366,-123.957801356
California,El Dorado,181058,70223,10.725581395348815,82413.37209302325,4,7,3,2,46775.622307312624,73938.63669380201,46570.711620445145,8857.26687515698,16864.623072785012,8802.28057436882,158692.52462860165,41175,26524,156793,1409,6297,294,2070,14195,21875,3054,3834,7.7,1866.0,5221.0,21,12,1606.0,414.0,5051.0,12.0,38.7787375794,-120.524649929
California,Fresno,930450,289391,27.356281407035155,53879.54271356784,30,103,28,45,125491.75618982222,465806.0118033143,119187.61670039289,49496.3273381088,223921.3818517728,47028.99369549566,571292.0348606432,277507,93421,515145,49523,89357,1405,15649,259371,468070,27018,56911,7.1,8968.0,6896.0,27,23,8313.0,4840.0,45262.0,36.0,36.7581801263,-119.649322632
California,Glenn,28122,9800,17.94999999999995,55702.16666666666,2,2,2,1,6593.206192532093,15340.620518937172,5354.205427485568,2717.5136282271437,6724.57665663622,2300.178553424401,21311.88253226604,7865,3737,19990,231,722,24,619,6536,10539,694,1064,7.3,327.0,6667.0,27,20,542.0,118.0,1145.0,26.0,39.5984047698,-122.392206808
California,Humboldt,134623,56031,21.026666666666642,54098.73333333333,7,15,4,5,18048.966526949876,45828.02629010748,13213.029096376797,7000.602415396574,19158.68043374904,4486.408345839057,88990.07232219432,27061,17725,109920,1505,2944,352,7726,12176,13211,3945,4793,6.5,1923.0,8769.0,26,16,1806.0,449.0,3525.0,23.0,40.7050090829,-123.915819446
