State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty
Texas,Coleman,8895,3857,18.833333333333332,42717.333333333336,2427.613147073851,4534.899833476764,998.148091626888,1035.1209175902839,2171.627249147857,439.7720512486932,6978.576931870321,1979,1934,7841,197,32,1,58,766,1419,208,468,6.0,161.0,9367.0,28,18,187.0,13.0,172.0,34.0
Texas,Collin,782341,283759,7.953947368421043,100916.11842105263,174226.84340311575,496361.65481110924,174226.84340311575,27922.676727421345,85132.07727730826,27922.676727421345,560851.236567151,224677,60048,560036,66387,87752,448,4448,63270,115354,7938,11212,7.4,5068.0,3972.0,25,11,6458.0,1309.0,17632.0,8.0
Texas,Collingsworth,3057,1179,22.0,49958.0,224.944088145241,224.944088145241,0.0,80.8668698086237,80.8668698086237,0.0,2235.51175244066,845,546,2338,134,4,0,52,529,916,79,111,7.6,45.0,10545.0,28,21,54.0,0.0,46.0,32.0
Texas,Colorado,20874,8182,16.87999999999996,54275.2,4304.410641173513,5948.075077015634,1035.8054674090297,1398.6188265571895,2354.2599699034527,509.55473557984004,16065.831039488738,4968,4040,15676,2740,77,16,125,2240,5452,312,943,6.9,303.0,9140.0,29,18,412.0,45.0,394.0,24.0
Texas,Comal,108472,41363,10.85416666666665,76630.5,17354.11246133877,33230.099069464384,17224.164772318694,5563.566958521622,11870.47889780907,5514.660994029035,98661.42861346256,25697,16855,97044,1727,849,51,645,8156,26989,1347,3034,7.5,1303.0,6497.0,27,14,1833.0,320.0,2248.0,13.0
Texas,Comanche,13974,5580,26.25,44355.75,2475.292658933213,4574.090840500545,406.887290398008,1250.9604213306798,2365.4974321689497,194.51958719833,11589.608759218441,3380,2923,12417,53,35,4,92,1373,3605,244,535,6.8,206.0,8424.0,28,20,274.0,28.0,231.0,27.0
Texas,Concho,4087,1041,13.1,58409.0,1092.26468366213,1092.26468366213,67.1310523014623,433.711850602755,433.711850602755,28.8319263816774,2694.04198427383,577,560,3553,77,14,5,16,422,2173,23,77,8.0,45.0,3968.0,28,21,59.0,3.0,45.0,26.0
Texas,Cooke,38437,14513,16.274999999999963,58711.75,3454.4496456214747,11231.264287170721,2197.028494030795,1292.91441983416,4683.6185989084215,972.7756528296693,31485.93832765454,9831,6100,32943,1054,290,19,402,3729,5997,698,1976,7.2,592.0,9119.0,29,16,517.0,,736.0,21.0
Texas,Coryell,75388,22545,12.089473684210498,48710.47368421053,37996.81725525206,48624.97860444153,34865.03996726934,15098.975721574456,18941.16160227877,14267.660317003583,69888.91618051376,21005,5684,53033,11943,1423,662,639,7688,11973,902,1932,5.5,666.0,6463.0,30,17,738.0,133.0,1190.0,24.0
Texas,Cottle,1505,677,20.3999999999999,39500.0,1504.11734976882,1504.11734976882,1445.54091243285,692.715627507456,692.715627507456,663.266484573437,1505.00000213826,350,358,1212,133,0,1,5,154,316,85,121,6.5,,,27,20,29.0,3.0,39.0,36.0
Texas,Crane,4375,1471,10.4,66445.0,588.004971095542,2360.7179997807,588.004971095542,150.73574184538,720.650158556554,150.73574184538,2360.7179997807,1289,493,3243,125,16,0,44,947,2409,66,114,8.7,59.0,9924.0,29,20,64.0,7.0,106.0,13.0
Texas,Crockett,3719,1422,16.8,61067.0,246.735080158623,246.735080158623,89.1891580220393,79.2592339466084,79.2592339466084,28.650422719551,2184.91506838183,994,545,3092,30,13,3,34,547,2352,128,86,8.6,45.0,7038.0,28,20,62.0,7.0,117.0,19.0
Texas,Crosby,6059,2237,23.133333333333297,45086.0,291.17137901387434,291.17137901387434,0.0,139.9325188640971,139.9325188640971,0.0,2952.161491320194,1747,1058,4784,209,6,4,35,1021,3171,106,460,7.8,81.0,7744.0,28,26,97.0,6.0,115.0,35.0
Texas,Culberson,2398,908,29.1,38527.0,186.143338387128,186.143338387128,138.797203417006,123.965949707947,123.965949707947,92.5314680991606,2295.952180566,667,354,1892,15,24,0,31,436,1827,102,245,8.5,,,28,31,47.0,1.0,45.0,37.0
Texas,Dallam,6703,2448,19.14999999999995,53210.0,3239.8928869252604,5863.47566557871,2206.064323305938,1435.812405860931,2715.960487311696,1029.4986178912154,6102.3340605038,2003,629,5371,84,41,6,83,1118,2717,88,295,6.4,91.0,9444.0,32,21,100.0,36.0,89.0,18.0
Texas,Dallas,2368139,855960,19.29621928166349,66212.82797731568,426464.71380006854,1364644.3306409898,426464.71380006854,171772.38343001797,562173.2486336525,171772.38343001797,1407294.8153951536,654263,207972,1267861,528200,119250,1222,17133,434473,905940,63567,122617,6.1,23596.0,6841.0,28,20,19015.0,11041.0,54348.0,27.0
Texas,Dawson,13833,4385,21.024999999999974,50301.5,5211.62879337282,9289.88092701065,4207.4728093921785,2496.6973708559517,4546.856914689841,2120.7881743627127,9948.526823256441,3422,1933,10606,905,49,7,99,2167,7387,324,741,7.1,191.0,9761.0,30,23,223.0,43.0,218.0,30.0
Texas,DeWitt,20097,7407,13.379999999999962,62450.0,1102.6463523832913,1102.6463523832913,0.0,349.0349926617929,349.0349926617929,0.0,16387.838917465822,4493,3677,15206,1876,44,0,88,2883,6502,477,1038,7.2,293.0,7987.0,31,19,369.0,114.0,406.0,27.0
Texas,Deaf Smith,19372,6365,19.674999999999947,55859.25,3973.2569425246193,11188.21067812158,3187.3553506497283,1968.258225138865,5700.497117109331,1755.4652795346983,14056.6317759646,6241,2224,15075,242,61,2,176,3816,13039,339,927,7.7,211.0,8009.0,29,26,234.0,51.0,283.0,28.0
Texas,Delta,5231,2088,21.19999999999995,49392.0,377.202791605434,377.202791605434,0.0,141.293957127235,141.293957127235,0.0,3915.5010397987126,1185,1037,4461,380,30,0,72,288,288,107,289,6.4,114.0,11199.0,28,17,136.0,4.0,120.0,28.0
Texas,Denton,662614,240289,9.789051094890498,91254.29197080292,181503.87168546463,420228.52035612636,180612.57615262124,38321.350844750974,98023.90966287492,38157.57920829869,510068.55976102536,182260,46043,497260,55534,43478,462,4551,61329,120836,7491,14462,7.1,4696.0,4337.0,22,13,5305.0,1236.0,15119.0,9.0
Texas,Dickens,2444,930,15.8,52792.0,484.958917640498,484.958917640498,26.3915320264641,135.766773792464,135.766773792464,7.38844684707419,1766.44759496766,492,481,2052,99,22,0,38,233,708,35,166,6.7,,,27,20,49.0,2.0,33.0,29.0
Texas,Dimmit,9996,3421,25.0,47003.0,5388.10431465365,7672.36254814466,4393.407240592628,2589.5444552416757,3769.545626887306,2039.2107137616808,8923.00124526514,3001,1419,8860,99,56,0,34,947,8616,276,966,8.0,144.0,9159.0,30,30,182.0,37.0,335.0,35.0
Texas,Donley,3677,1517,14.74999999999995,55409.0,573.714502813878,573.714502813878,10.4790001657133,213.703358949014,213.703358949014,3.14370002564061,2790.09533828735,758,778,3307,164,9,2,18,177,309,28,106,6.6,64.0,7022.0,28,16,66.0,11.0,68.0,33.0
Texas,Duval,11782,4090,23.1666666666666,43699.0,3148.857889156204,3148.857889156204,17.872367718830883,1890.6235746935795,1890.6235746935795,11.812831835709233,10461.240282330069,3075,1891,10247,110,22,5,45,1353,10424,513,1130,7.3,192.0,12753.0,28,33,230.0,76.0,431.0,37.0
Texas,Eastland,18583,7465,20.29999999999996,41783.0,4882.97616151685,7053.41148673888,1787.87811653409,2045.6207583758564,3268.9860648968656,476.794788917441,15041.02956630148,4162,3689,16697,335,62,9,124,1356,2673,409,920,5.9,361.0,10221.0,28,19,332.0,35.0,385.0,28.0
Texas,Ector,137130,48688,14.935714285714266,62372.892857142855,38197.185949246814,88892.55504992545,36925.41893356639,10099.629000382516,29073.36521122432,9745.933937953374,97494.30119922952,39808,13954,104653,6141,1080,119,1351,23786,72331,2657,7443,7.7,1934.0,9564.0,32,20,1604.0,1253.0,3682.0,17.0
Texas,Edwards,2002,839,15.9,51724.0,638.008449121661,638.008449121661,383.619670725299,191.055160419245,191.055160419245,114.877033305041,1367.33206038669,417,437,1739,11,7,0,26,219,1027,56,113,7.8,,,27,21,46.0,2.0,41.0,40.0
Texas,El Paso,800647,256557,25.557763975155254,45359.509316770185,167012.90359859265,483164.26955981116,166954.18108314005,80410.29015276264,238948.12505486896,80373.70561708802,555543.3406938334,240813,82223,656993,24864,8284,999,6007,103500,658134,20139,61432,7.4,6770.0,5822.0,28,27,5756.0,3051.0,17954.0,29.0
Texas,Ellis,149610,50503,12.199999999999982,68139.32258064517,51029.72584867078,72761.19820816076,50941.1777937051,13312.87026880865,23567.056410838133,13272.15344325045,130156.47882521401,43315,14945,117662,13482,851,95,893,16627,35161,1723,6115,7.0,1631.0,6156.0,30,16,2108.0,201.0,3186.0,16.0
Texas,Erath,37890,14569,23.58749999999995,52842.875,16051.450818272138,23631.956907974236,11986.22869297947,7134.216178659265,11664.350949964271,5802.074148873297,34578.61188224804,8448,4779,32441,451,257,13,291,4437,7279,618,1582,5.4,384.0,6554.0,28,18,409.0,55.0,785.0,21.0
Texas,Falls,17866,6302,21.716666666666615,48295.833333333336,2718.5680907270153,5908.606693918277,1142.955420833837,1379.3015421491832,3671.3866064136582,791.062776423815,16247.254028651878,3877,2875,10832,4524,46,10,101,2353,3716,456,1033,4.7,255.0,7380.0,30,23,248.0,27.0,277.0,33.0
Texas,Fannin,33915,12149,17.555555555555546,53660.666666666664,12510.425838018702,15407.936392668793,6444.994657317888,4916.4940114952715,6639.539690001049,2356.387532807985,31711.339471383595,7503,5765,29172,2312,125,7,369,1930,3226,507,1692,5.5,536.0,8282.0,28,16,626.0,52.0,641.0,23.0
Texas,Fayette,24554,10078,10.442857142857127,61567.71428571428,5798.851957287152,8828.128175072901,1105.4812404264,1941.3339431617878,3112.615399163144,214.757238446334,21805.99820179075,5389,5269,20491,1632,66,7,177,2181,4585,338,720,6.8,326.0,6623.0,27,16,398.0,41.0,428.0,18.0
Texas,Fisher,3974,1668,13.600000000000001,57074.0,676.4972192170299,676.4972192170299,0.0,123.3772066194795,123.3772066194795,0.0,2884.36122271872,898,884,3444,136,8,0,20,366,999,99,163,7.1,64.0,10071.0,27,17,104.0,11.0,71.0,23.0
Texas,Floyd,6446,2402,22.5,51955.0,988.3614988742829,2355.629857415927,813.0239862410266,295.678888397356,1021.517573047727,240.77868870957604,3549.29268125641,1862,1145,4916,232,11,1,47,1239,3410,143,477,7.8,81.0,7141.0,27,26,108.0,22.0,154.0,36.0
